run,target,threshold,tp,fp,recall,precision,alert_rate
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.24726444e-09,50779,9624677,1.000000,0.005248,0.875014719
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.33107555e-09,50779,9578914,1.000000,0.005273,0.870876071
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.4165405e-09,50779,9537896,1.000000,0.005296,0.867166546
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.50369193e-09,50779,9489282,1.000000,0.005323,0.862770064
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.59256311e-09,50779,9449320,1.000000,0.005345,0.859156039
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.68318798e-09,50779,9404609,1.000000,0.005370,0.855112531
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.77560116e-09,50779,9364050,1.000000,0.005394,0.851444516
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.86983791e-09,50779,9321201,1.000000,0.005418,0.847569401
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.96593424e-09,50779,9280801,1.000000,0.005442,0.843915765
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.06392683e-09,50779,9243994,1.000000,0.005463,0.840587067
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.16385311e-09,50779,9207386,1.000000,0.005485,0.837276366
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.26575123e-09,50779,9164928,1.000000,0.005510,0.833436612
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.3696601e-09,50779,9129771,1.000000,0.005531,0.830257135
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.4756194e-09,50779,9091162,1.000000,0.005555,0.826765470
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.58366959e-09,50779,9056011,1.000000,0.005576,0.823586536
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.69385193e-09,50779,9019002,1.000000,0.005599,0.820239570
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.8062085e-09,50779,8983353,1.000000,0.005621,0.817015598
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.92078219e-09,50779,8945437,1.000000,0.005644,0.813586606
