run,target,threshold,tp,fp,recall,precision,alert_rate
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.77560116e-09,50782,23174261,1.000000,0.002187,0.999935978
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.86983791e-09,50782,23174242,1.000000,0.002187,0.999935160
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,4.96593424e-09,50782,23174084,1.000000,0.002187,0.999928358
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.06392683e-09,50782,23173947,1.000000,0.002187,0.999922459
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.16385311e-09,50782,23173798,1.000000,0.002187,0.999916044
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.26575123e-09,50782,23173754,1.000000,0.002187,0.999914150
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.3696601e-09,50782,23173715,1.000000,0.002187,0.999912471
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.4756194e-09,50782,23173650,1.000000,0.002187,0.999909672
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.58366959e-09,50782,23173555,1.000000,0.002187,0.999905582
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.69385193e-09,50782,23173476,1.000000,0.002187,0.999902181
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.8062085e-09,50782,23173427,1.000000,0.002187,0.999900071
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,5.92078219e-09,50782,23173380,1.000000,0.002187,0.999898048
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.03761676e-09,50782,23173304,1.000000,0.002187,0.999894776
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.15675682e-09,50782,23173195,1.000000,0.002187,0.999890083
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.27824787e-09,50782,23172672,1.000000,0.002187,0.999867565
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.4021363e-09,50782,23172601,1.000000,0.002187,0.999864508
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.52846942e-09,50782,23172534,1.000000,0.002187,0.999861624
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.65729546e-09,50782,23172291,1.000000,0.002187,0.999851162
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.78866362e-09,50782,23172099,1.000000,0.002187,0.999842895
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,6.92262406e-09,50782,23171848,1.000000,0.002187,0.999832089
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.05922794e-09,50782,23171431,1.000000,0.002187,0.999814135
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.19852742e-09,50782,23170723,1.000000,0.002187,0.999783653
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.34057568e-09,50782,23170055,1.000000,0.002187,0.999754892
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.48542699e-09,50782,23167967,1.000000,0.002187,0.999664995
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.63313664e-09,50782,23165550,1.000000,0.002187,0.999560933
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.78376103e-09,50782,23163318,1.000000,0.002188,0.999464836
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,7.93735769e-09,50782,23159482,1.000000,0.002188,0.999299680
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.09398527e-09,50782,23154379,1.000000,0.002188,0.999079974
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.25370358e-09,50782,23146087,1.000000,0.002189,0.998722969
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.4165736e-09,50782,23133227,1.000000,0.002190,0.998169292
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.58265753e-09,50782,23122113,1.000000,0.002191,0.997690787
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.75201878e-09,50782,23109618,1.000000,0.002193,0.997152825
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,8.92472204e-09,50782,23093287,1.000000,0.002194,0.996449706
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.10083324e-09,50782,23075557,1.000000,0.002196,0.995686355
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.28041964e-09,50782,23056995,1.000000,0.002198,0.994887183
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.46354981e-09,50782,23043269,1.000000,0.002199,0.994296221
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.65029368e-09,50782,23022984,1.000000,0.002201,0.993422866
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,9.84072256e-09,50782,23007536,1.000000,0.002202,0.992757765
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.00349092e-08,50782,22988306,1.000000,0.002204,0.991929832
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.02329276e-08,50782,22968385,1.000000,0.002206,0.991072149
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.04348536e-08,50782,22948862,1.000000,0.002208,0.990231602
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.06407642e-08,50782,22926578,1.000000,0.002210,0.989272181
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.0850738e-08,50782,22909707,1.000000,0.002212,0.988545814
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.10648552e-08,50782,22892401,1.000000,0.002213,0.987800718
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.12831976e-08,50782,22875552,1.000000,0.002215,0.987075297
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.15058485e-08,50782,22863346,1.000000,0.002216,0.986549777
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,1.17328929e-08,50782,22850037,1.000000,0.002217,0.985976769
